intent,expression
how are you,Comment ca va?
how are you,Comment ça se passe ?
how are you,Est-ce que tout va bien ?
how are you,Est-ce que ça va ?
how are you,Est-ce que ça va bien ?
how are you,J'espere que tout va bien?
how are you,bonjour comment-allez vous
how are you,ca roule?
how are you,ca se passe?
how are you,ca va bien avec toi?
how are you,ca va?
how are you,cava
how are you,cava?
how are you,comment vas tu
how are you,comment vas tu?
how are you,quelle nouvelle?
how are you,quoi de neuf?
how are you,salut comment vas-tu
how are you,tout bon?
how are you,tout va bien?
how are you,tu vas bien
Greeting,Bonjour mon nom est
Greeting,Coucou
Greeting,JO
Greeting,allo
Greeting,bjr
Greeting,bonjour
Greeting,bonsoir
Greeting,commence
Greeting,commencer
Greeting,demarrer
Greeting,hello
Greeting,hey
Greeting,hi
Greeting,pouvez-vous me dire bonjour ?
Greeting,qui voila
Greeting,rebonjour
Greeting,salut
Greeting,salut toi
Greeting,slt
Greeting,yo
Yes,approuve
Yes,bien
Yes,bien sur
Yes,bon
Yes,c est bon
Yes,c est ok
Yes,ca roule
Yes,ca va
Yes,certainement
Yes,compris
Yes,en effet
Yes,entendu
Yes,ok
Yes,ouais
Yes,oui
Yes,oui oui
Yes,parfait
Yes,pourquoi pas
Yes,top
Yes,tout a fait
Yes,yep
thank you,Je vous remercie beaucoup
thank you,Merci bien
thank you,Merci d’avance
thank you,Merci infinitement
thank you,Un grand merci
thank you,Veuillez agréer l'expression de mes sentiments les meilleurs.
thank you,avec tous mes remerciements
thank you,avec tous nos remerciements
thank you,c’est vraiment gentil de votre part
thank you,je te remercie
thank you,je tiens à vous remercier
thank you,je vous remercie
thank you,merci
thank you,merci beaucoup
thank you,merci infiniment
thank you,merci madame
thank you,merci mille fois
thank you,merci monsieur
thank you,merci plus que jamais
thank you,merci énormément
thank you,un tout grand merci
thank you,ça me fait plaisir
who are you,"Et vous, qu'est-ce que vous êtes ?"
who are you,"Et vous, qu'est-ce que vous êtes en faite?"
who are you,Qu'est-ce que tu es ?
who are you,Qu'est-ce que vous êtes ?
who are you,Qui es-tu ?
who are you,Qui es-tu?
who are you,Qui etes-vous?
who are you,Qui êtes-vous ?
who are you,"Qui êtes-vous, d'ailleurs ?"
who are you,Racontez-moi plus de vous
who are you,Tu es humain?
who are you,Tu es un homme
who are you,Tu es un robot?
who are you,Vous êtes automatiser?
who are you,Vous êtes un robot ?
who are you,Vous êtes une personne réelle ?
who are you,es-tu une femme
who are you,Êtes-vous au moins une personne réelle ?
who are you,Êtes-vous une personne réelle ?
who are you,Êtes-vous une réelle personne ?
tell me a joke,blague
tell me a joke,dis quelque chose de rigoleux
tell me a joke,dis-moi quelque chose comique
tell me a joke,dis-moi quelque chose de drôle
tell me a joke,dis-moi quelque chose de marrant
tell me a joke,dis-moi un truc comique
tell me a joke,dis-moi un truc de drôle
tell me a joke,dis-moi un truc de marrant
tell me a joke,dis-moi une blague comique
tell me a joke,dis-moi une blague de drôle
tell me a joke,dis-moi une blague de marrant
tell me a joke,dites-moi quelque chose comique
tell me a joke,dites-moi quelque chose de drôle
tell me a joke,dites-moi quelque chose de marrant
tell me a joke,dites-moi un truc comique
tell me a joke,dites-moi un truc de drôle
tell me a joke,dites-moi un truc de marrant
tell me a joke,dites-moi une blague comique
tell me a joke,dites-moi une blague de drôle
tell me a joke,dites-moi une blague de marrant
tell me a joke,raconte-moi quelque chose comique
tell me a joke,raconte-moi quelque chose de drôle
tell me a joke,raconte-moi quelque chose de marrant
tell me a joke,raconte-moi un truc comique
tell me a joke,raconte-moi un truc de drôle
tell me a joke,raconte-moi un truc de marrant
tell me a joke,raconte-moi une blague
tell me a joke,raconte-moi une blague comique
tell me a joke,raconte-moi une blague de drôle
tell me a joke,raconte-moi une blague de marrant
tell me a joke,racontez-moi quelque chose comique
tell me a joke,racontez-moi quelque chose de drôle
tell me a joke,racontez-moi quelque chose de marrant
tell me a joke,racontez-moi un truc comique
tell me a joke,racontez-moi un truc de drôle
tell me a joke,racontez-moi un truc de marrant
tell me a joke,racontez-moi une blague comique
tell me a joke,racontez-moi une blague de drôle
tell me a joke,racontez-moi une blague de marrant
tell me a joke,racontez-moi une farce
tell me a joke,tu connais des blagues
tell me a joke,tu connais des plaisanteries
tell me a joke,une blague
No,Je refuse fermement
No,Je refuse formellement
No,Je refuse fortement
No,arretez
No,aucune question
No,en aucun cas
No,faux
No,incorrect
No,jamais
No,je n'approuve pas
No,je ne veux pas
No,je refuse
No,negatif
No,non
No,non Je refuse
No,non ca va merci
No,non merci
No,non merci bien
No,non non
No,pas d'accord
No,pas du tout
No,rien